t,1.35uM,3uM,5uM
4.020100503,0.4276629883,0.9999919863,1
4.070351759,0.43563401,0.9999935029,1
4.120603015,0.4435367652,0.9999947325,1
4.170854271,0.4513695728,0.9999957293,1
4.221105528,0.459132861,0.9999965376,1
4.271356784,0.4668290138,0.9999971928,1
4.32160804,0.4744621731,0.9999977241,1
4.371859296,0.4820380083,0.9999981548,1
4.422110553,0.4895634666,0.999998504,1
4.472361809,0.4970465144,0.9999987871,1
4.522613065,0.5044958776,0.9999990167,1
4.572864322,0.5119207871,0.9999992028,1
4.623115578,0.5193307362,0.9999993536,1
4.673366834,0.5267352512,0.999999476,1
4.72361809,0.5341436796,0.9999995751,1
4.773869347,0.5415649964,0.9999996555,1
4.824120603,0.5490076295,0.9999997207,1
4.874371859,0.5564793061,0.9999997736,1
4.924623116,0.563986918,0.9999998164,1
4.974874372,0.5715364078,0.9999998512,1
5.025125628,0.5791326755,0.9999998793,1
5.075376884,0.5867795045,0.9999999022,1
5.125628141,0.5944795075,0.9999999207,1
5.175879397,0.6022340919,0.9999999357,1
5.226130653,0.6100434443,0.9999999479,1
5.27638191,0.6179065332,0.9999999577,1
5.326633166,0.6258211298,0.9999999657,1
5.376884422,0.6337838455,0.9999999722,1
5.427135678,0.6417901854,0.9999999775,1
5.477386935,0.6498346161,0.9999999817,1
5.527638191,0.6579106474,0.9999999852,1
5.577889447,0.6660109241,0.999999988,1
5.628140704,0.6741273282,0.9999999903,1
5.67839196,0.6822510889,0.9999999921,1
5.728643216,0.6903728967,0.9999999936,1
5.778894472,0.6984830219,0.9999999948,1
5.829145729,0.7065714335,0.9999999958,1
5.879396985,0.7146279172,0.9999999966,1
5.929648241,0.7226421907,0.9999999972,1
5.979899497,0.7306040132,0.9999999978,1
6.030150754,0.7385032896,0.9999999982,1
6.08040201,0.7463301659,0.9999999985,1
6.130653266,0.7540751165,0.9999999988,1
6.180904523,0.761729021,0.999999999,1
6.231155779,0.7692832311,0.9999999992,1
6.281407035,0.7767296268,0.9999999994,1
6.331658291,0.784060662,0.9999999995,1
6.381909548,0.7912693999,0.9999999996,1
6.432160804,0.7983495374,0.9999999997,1
6.48241206,0.8052954215,0.9999999997,1
6.532663317,0.8121020554,0.9999999998,1
6.582914573,0.8187650978,0.9999999998,1
6.633165829,0.8252808539,0.9999999999,1
6.683417085,0.8316462611,0.9999999999,1
6.733668342,0.837858869,0.9999999999,1
6.783919598,0.8439168143,0.9999999999,1
6.834170854,0.849818793,0.9999999999,1
6.884422111,0.8555640296,0.9999999999,1
6.934673367,0.8611522432,1,1
6.984924623,0.8665836139,1,1
7.035175879,0.8718587471,1,1
7.085427136,0.876978638,1,1
7.135678392,0.8819446366,1,1
7.185929648,0.8867584129,1,1
7.236180905,0.8914219235,1,1
7.286432161,0.895937379,1,1
7.336683417,0.9003072129,1,1
7.386934673,0.9045340527,1,1
7.43718593,0.9086206918,1,1
7.487437186,0.9125700637,1,1
7.537688442,0.916385218,1,1
7.587939698,0.9200692979,1,1
7.638190955,0.9236255202,1,1
7.688442211,0.9270571556,1,1
7.738693467,0.9303675126,1,1
7.788944724,0.9335599214,1,1
7.83919598,0.9366377203,1,1
7.889447236,0.9396042431,1,1
7.939698492,0.942462808,1,1
7.989949749,0.9452167081,1,1
8.040201005,0.9478692023,1,1
8.090452261,0.9504235081,1,1
8.140703518,0.9528827953,1,1
8.190954774,0.9552501799,1,1
8.24120603,0.9575287198,1,1
8.291457286,0.959721411,1,1
8.341708543,0.9618311839,1,1
8.391959799,0.9638609011,1,1
8.442211055,0.9658133552,1,1
8.492462312,0.9676912675,1,1
8.542713568,0.9694972865,1,1
8.592964824,0.9712339877,1,1
8.64321608,0.9729038734,1,1
8.693467337,0.9745093719,1,1
8.743718593,0.976052839,1,1
8.793969849,0.9775365575,1,1
8.844221106,0.9789627385,1,1
8.894472362,0.9803335223,1,1
8.944723618,0.9816509792,1,1
8.994974874,0.982917111,1,1
9.045226131,0.9841338523,1,1
9.095477387,0.9853030716,1,1
9.145728643,0.9864265732,1,1
9.195979899,0.9875060984,1,1
9.246231156,0.9885433273,1,1
9.296482412,0.9895398803,1,1
9.346733668,0.9904973198,1,1
9.396984925,0.9914171516,1,1
9.447236181,0.992300827,1,1
9.497487437,0.993149744,1,1
9.547738693,0.9939652492,1,1
9.59798995,0.9947486392,1,1
9.648241206,0.9955011625,1,1
9.698492462,0.9962240208,1,1
9.748743719,0.9969183707,1,1
9.798994975,0.997585325,1,1
9.849246231,0.9982259545,1,1
9.899497487,0.9988412893,1,1
9.949748744,0.9994323202,1,1
10,1,1,1
