t,1uM,1.7uM,3uM,5uM
1.809045226,0.002960553759,0.07542659003,0.918802807,0.9999816399
1.859296482,0.003211595359,0.08812266331,0.9340191485,0.999988309
1.909547739,0.003480842532,0.1023619879,0.9464208774,0.9999925556
1.959798995,0.003769570897,0.1181444091,0.9565125425,0.9999952597
2.010050251,0.004079145279,0.1354156219,0.9647153073,0.9999969815
2.060301508,0.004411025492,0.1540631018,0.9713775513,0.999998078
2.110552764,0.004766772458,0.1739174937,0.9767856648,0.9999987761
2.16080402,0.00514805467,0.1947600821,0.9811740765,0.9999992207
2.211055276,0.005556655011,0.2163358607,0.9847341171,0.9999995038
2.261306533,0.005994477948,0.2383705933,0.9876216253,0.999999684
2.311557789,0.006463557085,0.2605894757,0.9899633526,0.9999997988
2.361809045,0.006966063108,0.2827347994,0.9918622915,0.9999998719
2.412060302,0.007504312112,0.304580421,0.9934020727,0.9999999184
2.462311558,0.008080774304,0.3259416725,0.9946505723,0.9999999481
2.512562814,0.008698083101,0.3466803121,0.9956628622,0.9999999669
2.56281407,0.009359044588,0.3667049501,0.996483615,0.9999999789
2.613065327,0.01006664735,0.3859679152,0.9971490624,0.9999999866
2.663316583,0.01082407267,0.404459733,0.9976885862,0.9999999915
2.713567839,0.01163470497,0.4222023319,0.9981260121,0.9999999946
2.763819095,0.01250214267,0.4392418841,0.9984806591,0.9999999965
2.814070352,0.01343020919,0.4556419157,0.9987681914,0.9999999978
2.864321608,0.0144229642,0.4714770731,0.9990013094,0.9999999986
2.914572864,0.01548471501,0.4868277287,0.9991903106,0.9999999991
2.964824121,0.01662002799,0.5017754683,0.9993435438,0.9999999994
3.015075377,0.01783374005,0.5163994205,0.9994677778,0.9999999996
3.065326633,0.0191309699,0.5307733489,0.9995685006,0.9999999998
3.115577889,0.02051712908,0.5449634148,0.9996501618,0.9999999999
3.165829146,0.02199793268,0.5590265284,0.9997163686,0.9999999999
3.216080402,0.02357940936,0.5730092184,0.9997700458,0.9999999999
3.266331658,0.02526791076,0.5869469667,0.9998135646,1
3.316582915,0.0270701199,0.6008639663,0.9998488474,1
3.366834171,0.02899305831,0.6147732686,0.9998774531,1
3.417085427,0.03104409188,0.6286772853,0.999900645,1
3.467336683,0.03323093471,0.6425686081,0.999919448,1
3.51758794,0.03556165111,0.6564311003,0.9999346924,1
3.567839196,0.03804465496,0.6702412054,0.9999470519,1
3.618090452,0.04068870632,0.6839694101,0.9999570723,1
3.668341709,0.04350290479,0.6975817928,0.9999651964,1
3.718592965,0.04649667913,0.7110415872,0.999971783,1
3.768844221,0.04967977274,0.7243106937,0.999977123,1
3.819095477,0.05306222444,0.737351078,0.9999814525,1
3.869346734,0.05665434415,0.7501260102,0.9999849626,1
3.91959799,0.06046668284,0.7626011087,0.9999878084,1
3.969849246,0.06450999641,0.7747451691,0.9999901157,1
4.020100503,0.06879520284,0.7865307737,0.9999919863,1
4.070351759,0.07333333237,0.7979346876,0.9999935029,1
4.120603015,0.07813547012,0.8089380602,0.9999947325,1
4.170854271,0.08321269103,0.8195264546,0.9999957293,1
