t,1uM,1.4uM,2uM,3uM,5uM
5.477386935,0.3338780698,0.9320663369,0.9995159881,0.9999999817,1
5.527638191,0.3478197299,0.9364348994,0.9995682306,0.9999999852,1
5.577889447,0.3619508689,0.9405271239,0.9996148345,0.999999988,1
5.628140704,0.3762465309,0.9443598428,0.9996564083,0.9999999903,1
5.67839196,0.3906809448,0.9479489712,0.9996934949,0.9999999921,1
5.728643216,0.4052277349,0.9513095385,0.9997265787,0.9999999936,1
5.778894472,0.4198601368,0.9544557223,0.9997560916,0.9999999948,1
5.829145729,0.4345512154,0.9574008839,0.9997824191,0.9999999958,1
5.879396985,0.4492740797,0.9601576043,0.999805905,0.9999999966,1
5.929648241,0.4640020926,0.9627377213,0.9998268561,0.9999999972,1
5.979899497,0.4787090707,0.9651523655,0.9998455458,0.9999999978,1
6.030150754,0.4933694717,0.9674119965,0.9998622183,0.9999999982,1
6.08040201,0.507958567,0.9695264385,0.9998770912,0.9999999985,1
6.130653266,0.5224525966,0.9715049141,0.9998903589,0.9999999988,1
6.180904523,0.5368289058,0.9733560779,0.9999021946,0.999999999,1
6.231155779,0.5510660616,0.9750880483,0.9999127528,0.9999999992,1
6.281407035,0.5651439485,0.9767084386,0.9999221715,0.9999999994,1
6.331658291,0.5790438444,0.9782243858,0.9999305735,0.9999999995,1
6.381909548,0.5927484758,0.9796425791,0.9999380687,0.9999999996,1
6.432160804,0.6062420541,0.9809692864,0.9999447549,0.9999999997,1
6.48241206,0.6195102934,0.9822103796,0.9999507195,0.9999999997,1
6.532663317,0.6325404112,0.9833713588,0.9999560403,0.9999999998,1
6.582914573,0.6453211147,0.9844573749,0.9999607868,0.9999999998,1
6.633165829,0.6578425718,0.9854732508,0.999965021,0.9999999999,1
6.683417085,0.670096372,0.9864235023,0.9999687981,0.9999999999,1
6.733668342,0.6820754758,0.9873123567,0.9999721676,0.9999999999,1
6.783919598,0.6937741563,0.9881437711,0.9999751735,0.9999999999,1
6.834170854,0.7051879342,0.988921449,0.9999778549,0.9999999999,1
6.884422111,0.7163135074,0.9896488566,0.9999802468,0.9999999999,1
6.934673367,0.7271486771,0.9903292379,0.9999823807,1,1
6.984924623,0.7376922717,0.9909656281,0.9999842842,1,1
7.035175879,0.7479440692,0.9915608677,0.9999859822,1,1
7.085427136,0.7579047204,0.9921176142,0.999987497,1,1
7.135678392,0.767575672,0.992638354,0.9999888483,1,1
7.185929648,0.7769590922,0.9931254137,0.9999900537,1,1
7.236180905,0.7860577978,0.9935809695,0.999991129,1,1
7.286432161,0.794875185,0.9940070577,0.9999920883,1,1
7.336683417,0.8034151624,0.994405583,0.999992944,1,1
7.386934673,0.8116820881,0.9947783272,0.9999937074,1,1
7.43718593,0.8196807107,0.9951269573,0.9999943884,1,1
7.487437186,0.8274161131,0.9954530326,0.9999949958,1,1
7.537688442,0.8348936613,0.9957580115,0.9999955377,1,1
7.587939698,0.8421189561,0.9960432584,0.9999960212,1,1
7.638190955,0.8490977893,0.9963100496,0.9999964524,1,1
7.688442211,0.8558361033,0.9965595788,0.9999968371,1,1
7.738693467,0.8623399538,0.9967929625,0.9999971803,1,1
7.788944724,0.868615477,0.9970112451,0.9999974864,1,1
7.83919598,0.874668859,0.9972154036,0.9999977595,1,1
7.889447236,0.8805063087,0.9974063518,0.9999980031,1,1
7.939698492,0.8861340338,0.9975849441,0.9999982204,1,1
7.989949749,0.891558219,0.9977519801,0.9999984143,1,1
8.040201005,0.8967850073,0.9979082074,0.9999985873,1,1
8.090452261,0.9018204829,0.9980543254,0.9999987415,1,1
8.140703518,0.906670657,0.9981909881,0.9999988792,1,1
8.190954774,0.9113414551,0.9983188073,0.9999990019,1,1
8.24120603,0.9158387063,0.9984383552,0.9999991114,1,1
8.291457286,0.9201681338,0.9985501672,0.9999992091,1,1
8.341708543,0.9243353479,0.9986547436,0.9999992963,1,1
8.391959799,0.9283458388,0.9987525527,0.999999374,1,1
8.442211055,0.9322049726,0.9988440324,0.9999994434,1,1
8.492462312,0.9359179861,0.9989295923,0.9999995053,1,1
8.542713568,0.939489985,0.9990096154,0.9999995605,1,1
8.592964824,0.9429259406,0.9990844601,0.9999996097,1,1
8.64321608,0.9462306893,0.9991544613,0.9999996536,1,1
8.693467337,0.9494089312,0.9992199326,0.9999996928,1,1
8.743718593,0.9524652306,0.9992811671,0.9999997277,1,1
8.793969849,0.9554040161,0.9993384389,0.9999997589,1,1
8.844221106,0.9582295815,0.9993920045,0.9999997867,1,1
8.894472362,0.960946087,0.9994421036,0.9999998116,1,1
8.944723618,0.9635575612,0.9994889607,0.9999998337,1,1
8.994974874,0.9660679026,0.9995327856,0.9999998534,1,1
9.045226131,0.9684808819,0.9995737744,0.999999871,1,1
9.095477387,0.9708001445,0.9996121106,0.9999998868,1,1
9.145728643,0.973029213,0.999647966,0.9999999008,1,1
9.195979899,0.9751714896,0.9996815011,0.9999999133,1,1
9.246231156,0.9772302594,0.999712866,0.9999999244,1,1
9.296482412,0.9792086929,0.9997422012,0.9999999344,1,1
9.346733668,0.981109849,0.999769638,0.9999999433,1,1
9.396984925,0.9829366781,0.9997952992,0.9999999512,1,1
9.447236181,0.984692025,0.9998192999,0.9999999582,1,1
9.497487437,0.9863786321,0.9998417473,0.9999999645,1,1
9.547738693,0.9879991422,0.9998627421,0.9999999702,1,1
9.59798995,0.9895561017,0.9998823783,0.9999999752,1,1
9.648241206,0.9910519634,0.9999007437,0.9999999796,1,1
9.698492462,0.9924890895,0.9999179207,0.9999999836,1,1
9.748743719,0.9938697547,0.999933986,0.9999999872,1,1
9.798994975,0.9951961489,0.9999490117,0.9999999904,1,1
9.849246231,0.9964703798,0.999963065,0.9999999932,1,1
9.899497487,0.9976944762,0.9999762089,0.9999999957,1,1
9.949748744,0.9988703902,0.9999885022,0.999999998,1,1
10,1,1,1,1,1
